instance 	 Gamma 	 status 	 objbound 	 objval 	 mipgap 	 runtime 
j304_3 	 7 	 2 	 72.00 	 72.00 	 0.0000 	 0.59 
j304_4 	 3 	 2 	 72.00 	 72.00 	 0.0000 	 0.27 
j304_4 	 5 	 2 	 80.00 	 80.00 	 0.0000 	 0.39 
j304_4 	 7 	 2 	 85.00 	 85.00 	 0.0000 	 1.03 
j304_5 	 3 	 2 	 74.00 	 74.00 	 0.0000 	 0.95 
j304_5 	 5 	 2 	 83.00 	 83.00 	 0.0000 	 1.07 
j304_5 	 7 	 2 	 88.00 	 88.00 	 0.0000 	 1.59 
j304_6 	 3 	 2 	 60.00 	 60.00 	 0.0000 	 0.57 
j304_6 	 5 	 2 	 68.00 	 68.00 	 0.0000 	 0.46 
j304_6 	 7 	 2 	 69.00 	 69.00 	 0.0000 	 1.22 
j304_7 	 3 	 2 	 69.00 	 69.00 	 0.0000 	 0.47 
j304_7 	 5 	 2 	 76.00 	 76.00 	 0.0000 	 0.81 
j304_7 	 7 	 2 	 82.00 	 82.00 	 0.0000 	 1.07 
j304_8 	 3 	 2 	 70.00 	 70.00 	 0.0000 	 0.27 
j304_8 	 5 	 2 	 77.00 	 77.00 	 0.0000 	 0.33 
j304_8 	 7 	 2 	 83.00 	 83.00 	 0.0000 	 0.60 
j304_9 	 3 	 2 	 51.00 	 51.00 	 0.0000 	 1.00 
j304_9 	 5 	 2 	 56.00 	 56.00 	 0.0000 	 1.42 
j304_9 	 7 	 2 	 58.00 	 58.00 	 0.0000 	 1.81 
j304_10 	 3 	 2 	 62.00 	 62.00 	 0.0000 	 0.25 
j304_10 	 5 	 2 	 70.00 	 70.00 	 0.0000 	 1.04 
j304_10 	 7 	 2 	 73.00 	 73.00 	 0.0000 	 1.00 
j305_1 	 3 	 9 	 59.00 	 66.00 	 0.1061 	 1200.01 
j305_1 	 5 	 9 	 62.00 	 73.00 	 0.1507 	 1200.02 
j305_1 	 7 	 9 	 67.00 	 79.00 	 0.1519 	 1200.02 
j305_2 	 3 	 9 	 81.00 	 97.00 	 0.1649 	 1200.01 
j305_2 	 5 	 9 	 88.00 	 106.00 	 0.1698 	 1200.04 
j305_2 	 7 	 9 	 92.00 	 116.00 	 0.2069 	 1200.02 
j305_3 	 3 	 9 	 73.00 	 103.00 	 0.2913 	 1200.03 
j305_3 	 5 	 9 	 80.00 	 111.00 	 0.2793 	 1200.01 
j305_3 	 7 	 9 	 83.00 	 114.00 	 0.2719 	 1200.02 
j305_4 	 3 	 9 	 69.00 	 78.00 	 0.1154 	 1200.01 
j305_4 	 5 	 9 	 73.00 	 90.00 	 0.1889 	 1200.01 
j305_4 	 7 	 9 	 80.00 	 93.00 	 0.1398 	 1200.01 
j305_5 	 3 	 9 	 83.00 	 92.00 	 0.0978 	 1200.01 
j305_5 	 5 	 9 	 89.00 	 101.00 	 0.1188 	 1200.02 
j305_5 	 7 	 9 	 95.00 	 108.00 	 0.1204 	 1200.02 
j305_6 	 3 	 9 	 71.00 	 82.00 	 0.1341 	 1200.02 
j305_6 	 5 	 9 	 74.00 	 94.00 	 0.2128 	 1200.04 
j305_6 	 7 	 9 	 78.00 	 100.00 	 0.2200 	 1200.02 
j305_7 	 3 	 9 	 73.00 	 97.00 	 0.2474 	 1200.01 
j305_7 	 5 	 9 	 74.00 	 108.00 	 0.3148 	 1200.03 
