instance 	 Gamma 	 status 	 objbound 	 objval 	 mipgap 	 runtime 
j304_4 	 5 	 2 	 80.00 	 80.00 	 0.0000 	 0.52 
j304_4 	 7 	 2 	 85.00 	 85.00 	 0.0000 	 0.74 
j304_5 	 3 	 2 	 74.00 	 74.00 	 0.0000 	 0.40 
j304_5 	 5 	 2 	 83.00 	 83.00 	 0.0000 	 0.63 
j304_5 	 7 	 2 	 88.00 	 88.00 	 0.0000 	 0.71 
j304_6 	 3 	 2 	 60.00 	 60.00 	 0.0000 	 0.38 
j304_6 	 5 	 2 	 68.00 	 68.00 	 0.0000 	 0.62 
j304_6 	 7 	 2 	 69.00 	 69.00 	 0.0000 	 0.95 
j304_7 	 3 	 2 	 69.00 	 69.00 	 0.0000 	 0.53 
j304_7 	 5 	 2 	 76.00 	 76.00 	 0.0000 	 0.51 
j304_7 	 7 	 2 	 82.00 	 82.00 	 0.0000 	 1.28 
j304_8 	 3 	 2 	 70.00 	 70.00 	 0.0000 	 0.30 
j304_8 	 5 	 2 	 77.00 	 77.00 	 0.0000 	 0.51 
j304_8 	 7 	 2 	 83.00 	 83.00 	 0.0000 	 0.88 
j304_9 	 3 	 2 	 51.00 	 51.00 	 0.0000 	 0.62 
j304_9 	 5 	 2 	 56.00 	 56.00 	 0.0000 	 1.05 
j304_9 	 7 	 2 	 58.00 	 58.00 	 0.0000 	 0.87 
j304_10 	 3 	 2 	 62.00 	 62.00 	 0.0000 	 0.33 
j304_10 	 5 	 2 	 70.00 	 70.00 	 0.0000 	 0.77 
j304_10 	 7 	 2 	 73.00 	 73.00 	 0.0000 	 1.00 
j305_1 	 3 	 9 	 58.00 	 66.00 	 0.1212 	 1200.01 
j305_1 	 5 	 9 	 63.00 	 73.00 	 0.1370 	 1200.01 
j305_1 	 7 	 9 	 65.00 	 78.00 	 0.1667 	 1200.01 
j305_2 	 3 	 9 	 84.00 	 97.00 	 0.1340 	 1200.02 
j305_2 	 5 	 9 	 91.00 	 105.00 	 0.1333 	 1200.02 
j305_2 	 7 	 9 	 89.00 	 113.00 	 0.2124 	 1200.02 
j305_3 	 3 	 9 	 74.00 	 101.00 	 0.2673 	 1200.01 
j305_3 	 5 	 9 	 80.00 	 106.00 	 0.2453 	 1200.04 
j305_3 	 7 	 9 	 84.00 	 118.00 	 0.2881 	 1200.02 
j305_4 	 3 	 9 	 69.00 	 78.00 	 0.1154 	 1200.01 
j305_4 	 5 	 9 	 73.00 	 87.00 	 0.1609 	 1200.01 
j305_4 	 7 	 9 	 79.00 	 98.00 	 0.1939 	 1200.02 
j305_5 	 3 	 2 	 91.00 	 91.00 	 0.0000 	 1155.78 
j305_5 	 5 	 9 	 97.00 	 100.00 	 0.0300 	 1200.01 
j305_5 	 7 	 9 	 99.00 	 106.00 	 0.0660 	 1200.03 
j305_6 	 3 	 9 	 69.00 	 82.00 	 0.1585 	 1200.01 
j305_6 	 5 	 9 	 75.00 	 89.00 	 0.1573 	 1200.02 
j305_6 	 7 	 9 	 77.00 	 99.00 	 0.2222 	 1200.03 
j305_7 	 3 	 9 	 72.00 	 95.00 	 0.2421 	 1200.01 
j305_7 	 5 	 9 	 79.00 	 105.00 	 0.2476 	 1200.02 
j305_7 	 7 	 9 	 84.00 	 121.00 	 0.3058 	 1200.02 
j305_8 	 3 	 9 	 68.00 	 90.00 	 0.2444 	 1200.02 
j305_8 	 5 	 9 	 76.00 	 95.00 	 0.2000 	 1200.03 
j305_8 	 7 	 9 	 82.00 	 105.00 	 0.2190 	 1200.02 
j305_9 	 3 	 9 	 63.00 	 64.00 	 0.0156 	 1200.01 
j305_9 	 5 	 9 	 69.00 	 70.00 	 0.0143 	 1200.01 
j305_9 	 7 	 9 	 71.00 	 75.00 	 0.0533 	 1200.01 
j305_10 	 3 	 9 	 80.00 	 85.00 	 0.0588 	 1200.01 
j305_10 	 5 	 9 	 88.00 	 94.00 	 0.0638 	 1200.01 
j305_10 	 7 	 9 	 91.00 	 104.00 	 0.1250 	 1200.02 
j306_1 	 3 	 2 	 74.00 	 74.00 	 0.0000 	 101.72 
j306_1 	 5 	 2 	 82.00 	 82.00 	 0.0000 	 357.22 
j306_1 	 7 	 2 	 88.00 	 88.00 	 0.0000 	 424.32 
j306_2 	 3 	 9 	 65.00 	 66.00 	 0.0152 	 1200.01 
j306_2 	 5 	 2 	 73.00 	 73.00 	 0.0000 	 227.43 
j306_2 	 7 	 2 	 77.00 	 77.00 	 0.0000 	 400.08 
j306_3 	 3 	 2 	 61.00 	 61.00 	 0.0000 	 3.73 
j306_3 	 5 	 2 	 68.00 	 68.00 	 0.0000 	 5.52 
j306_3 	 7 	 2 	 73.00 	 73.00 	 0.0000 	 9.17 
j306_4 	 3 	 2 	 55.00 	 55.00 	 0.0000 	 89.37 
j306_4 	 5 	 2 	 62.00 	 62.00 	 0.0000 	 77.33 
j306_4 	 7 	 2 	 65.00 	 65.00 	 0.0000 	 296.43 
j306_5 	 3 	 2 	 82.00 	 82.00 	 0.0000 	 15.11 
j306_5 	 5 	 2 	 90.00 	 90.00 	 0.0000 	 16.35 
j306_5 	 7 	 2 	 98.00 	 98.00 	 0.0000 	 30.25 
j306_6 	 3 	 2 	 47.00 	 47.00 	 0.0000 	 3.52 
j306_6 	 5 	 2 	 52.00 	 52.00 	 0.0000 	 3.48 
j306_6 	 7 	 2 	 56.00 	 56.00 	 0.0000 	 4.08 
j306_7 	 3 	 2 	 60.00 	 60.00 	 0.0000 	 3.42 
j306_7 	 5 	 2 	 66.00 	 66.00 	 0.0000 	 5.57 
j306_7 	 7 	 2 	 70.00 	 70.00 	 0.0000 	 6.75 
j306_8 	 3 	 2 	 53.00 	 53.00 	 0.0000 	 7.96 
j306_8 	 5 	 2 	 59.00 	 59.00 	 0.0000 	 37.52 
j306_8 	 7 	 2 	 60.00 	 60.00 	 0.0000 	 421.45 
j306_9 	 3 	 2 	 64.00 	 64.00 	 0.0000 	 4.55 
j306_9 	 5 	 2 	 72.00 	 72.00 	 0.0000 	 5.36 
j306_9 	 7 	 2 	 77.00 	 77.00 	 0.0000 	 10.05 
j306_10 	 3 	 2 	 76.00 	 76.00 	 0.0000 	 23.70 
j306_10 	 5 	 2 	 84.00 	 84.00 	 0.0000 	 19.56 
j306_10 	 7 	 2 	 90.00 	 90.00 	 0.0000 	 43.81 
j307_1 	 3 	 2 	 70.00 	 70.00 	 0.0000 	 0.41 
j307_1 	 5 	 2 	 76.00 	 76.00 	 0.0000 	 0.92 
j307_1 	 7 	 2 	 81.00 	 81.00 	 0.0000 	 1.17 
j307_2 	 3 	 2 	 56.00 	 56.00 	 0.0000 	 0.49 
j307_2 	 5 	 2 	 62.00 	 62.00 	 0.0000 	 1.03 
j307_2 	 7 	 2 	 65.00 	 65.00 	 0.0000 	 1.23 
j307_3 	 3 	 2 	 55.00 	 55.00 	 0.0000 	 0.73 
j307_3 	 5 	 2 	 60.00 	 60.00 	 0.0000 	 1.36 
j307_3 	 7 	 2 	 63.00 	 63.00 	 0.0000 	 1.77 
j307_4 	 3 	 2 	 56.00 	 56.00 	 0.0000 	 1.08 
j307_4 	 5 	 2 	 62.00 	 62.00 	 0.0000 	 1.72 
j307_4 	 7 	 2 	 67.00 	 67.00 	 0.0000 	 7.82 
j307_5 	 3 	 2 	 58.00 	 58.00 	 0.0000 	 1.39 
j307_5 	 5 	 2 	 65.00 	 65.00 	 0.0000 	 4.61 
j307_5 	 7 	 2 	 68.00 	 68.00 	 0.0000 	 5.33 
j307_6 	 3 	 2 	 47.00 	 47.00 	 0.0000 	 0.48 
j307_6 	 5 	 2 	 52.00 	 52.00 	 0.0000 	 0.89 
j307_6 	 7 	 2 	 55.00 	 55.00 	 0.0000 	 1.34 
j307_7 	 3 	 2 	 65.00 	 65.00 	 0.0000 	 1.71 
j307_7 	 5 	 2 	 71.00 	 71.00 	 0.0000 	 6.63 
j307_7 	 7 	 2 	 75.00 	 75.00 	 0.0000 	 6.18 
j307_8 	 3 	 2 	 56.00 	 56.00 	 0.0000 	 1.93 
j307_8 	 5 	 2 	 63.00 	 63.00 	 0.0000 	 1.90 
j307_8 	 7 	 2 	 67.00 	 67.00 	 0.0000 	 10.39 
j307_9 	 3 	 2 	 75.00 	 75.00 	 0.0000 	 2.06 
j307_9 	 5 	 2 	 83.00 	 83.00 	 0.0000 	 5.49 
j307_9 	 7 	 2 	 88.00 	 88.00 	 0.0000 	 5.93 
j307_10 	 3 	 2 	 62.00 	 62.00 	 0.0000 	 3.18 
j307_10 	 5 	 2 	 68.00 	 68.00 	 0.0000 	 5.33 
j307_10 	 7 	 2 	 72.00 	 72.00 	 0.0000 	 8.13 
j308_1 	 3 	 2 	 59.00 	 59.00 	 0.0000 	 0.49 
j308_1 	 5 	 2 	 67.00 	 67.00 	 0.0000 	 0.92 
j308_1 	 7 	 2 	 68.00 	 68.00 	 0.0000 	 1.33 
j308_2 	 3 	 2 	 64.00 	 64.00 	 0.0000 	 0.43 
j308_2 	 5 	 2 	 71.00 	 71.00 	 0.0000 	 0.94 
j308_2 	 7 	 2 	 77.00 	 77.00 	 0.0000 	 1.29 
j308_3 	 3 	 2 	 66.00 	 66.00 	 0.0000 	 0.38 
j308_3 	 5 	 2 	 73.00 	 73.00 	 0.0000 	 0.85 
j308_3 	 7 	 2 	 79.00 	 79.00 	 0.0000 	 2.37 
j308_4 	 3 	 2 	 61.00 	 61.00 	 0.0000 	 0.48 
j308_4 	 5 	 2 	 68.00 	 68.00 	 0.0000 	 0.94 
