instance 	 Gamma 	 status 	 objbound 	 objval 	 mipgap 	 runtime 
j3011_2 	 5 	 2 	 79.00 	 79.00 	 0.0000 	 7.42 
j3011_2 	 7 	 2 	 84.00 	 84.00 	 0.0000 	 26.33 
j3011_3 	 3 	 2 	 96.00 	 96.00 	 0.0000 	 1.26 
j3011_3 	 5 	 2 	 104.00 	 104.00 	 0.0000 	 2.30 
j3011_3 	 7 	 2 	 112.00 	 112.00 	 0.0000 	 2.92 
j3011_4 	 3 	 2 	 78.00 	 78.00 	 0.0000 	 28.98 
j3011_4 	 5 	 2 	 86.00 	 86.00 	 0.0000 	 38.71 
j3011_4 	 7 	 2 	 94.00 	 94.00 	 0.0000 	 47.37 
j3011_5 	 3 	 2 	 63.00 	 63.00 	 0.0000 	 87.87 
j3011_5 	 5 	 2 	 70.00 	 70.00 	 0.0000 	 1101.34 
j3011_5 	 7 	 9 	 74.00 	 75.00 	 0.0133 	 1200.04 
j3011_6 	 3 	 2 	 56.00 	 56.00 	 0.0000 	 10.45 
j3011_6 	 5 	 2 	 62.00 	 62.00 	 0.0000 	 22.60 
j3011_6 	 7 	 2 	 66.00 	 66.00 	 0.0000 	 22.70 
j3011_7 	 3 	 2 	 49.00 	 49.00 	 0.0000 	 14.19 
j3011_7 	 5 	 2 	 54.00 	 54.00 	 0.0000 	 250.07 
j3011_7 	 7 	 2 	 55.00 	 55.00 	 0.0000 	 68.45 
j3011_8 	 3 	 2 	 77.00 	 77.00 	 0.0000 	 14.36 
j3011_8 	 5 	 2 	 85.00 	 85.00 	 0.0000 	 33.26 
j3011_8 	 7 	 2 	 92.00 	 92.00 	 0.0000 	 34.63 
j3011_9 	 3 	 2 	 82.00 	 82.00 	 0.0000 	 4.72 
j3011_9 	 5 	 2 	 91.00 	 91.00 	 0.0000 	 3.91 
j3011_9 	 7 	 2 	 98.00 	 98.00 	 0.0000 	 9.29 
j3011_10 	 3 	 2 	 50.00 	 50.00 	 0.0000 	 4.13 
